Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	net_diversification[1]	net_diversification[2]	net_diversification[3]	net_diversification[4]	q[1][2]	q[1][3]	q[2][1]	q[2][4]	q[3][1]	q[3][4]	q[4][2]	q[4][3]	q_0A0B	q_0A1A	q_0B0A	q_0B1B	q_1A0A	q_1A1B	q_1B0B	q_1B1A	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]
310	-884.2347	-914.8766	30.6418	0.1824908	0.1967382	0.1549154	0.16701	-1.701056	-1.625881	-0.1638202	0.117526	0.132363	0.564802	0.622481	0.03247291	0.002919775	0.0004816014	0.006452366	0.01501429	8.960272e-05	0.0002518872	5.561928e-06	0.002919775	0.03247291	0.01501429	8.960272e-05	0.0004816014	0.006452366	5.561928e-06	0.0002518872	0.168871	0.218178	0.266969	0.345982	0.3000164	0.3291017	0.7197177	0.7894913	-1.203918	-1.111388	0.8750219
320	-887.3753	-912.5347	25.15938	0.01690957	0.09307948	0.01476112	0.08125325	-4.079875	-2.374302	-0.1358829	0.212468	0.157329	0.646172	0.640277	0.02727729	0.0008466176	0.0003416918	0.009305414	0.001788307	0.001749084	0.004382199	0.007699462	0.0008466176	0.02727729	0.001788307	0.001749084	0.0003416918	0.009305414	0.007699462	0.004382199	0.168871	0.218178	0.266969	0.345982	0.2293777	0.2504081	0.660933	0.7215301	-1.472385	-1.384663	1.058282
330	-887.9214	-912.9786	25.05717	0.01307045	0.09727373	0.01471991	0.1095495	-4.337401	-2.330226	0.1188473	0.179307	0.184681	0.466022	0.595042	0.02652576	0.004291319	0.0004233901	0.007466945	0.0001178718	0.005884657	0.0005534048	0.01362787	0.004291319	0.02652576	0.0001178718	0.005884657	0.0004233901	0.007466945	0.01362787	0.0005534048	0.168871	0.218178	0.266969	0.345982	0.1923773	0.2819545	0.480742	0.7045914	-1.648297	-1.266009	0.9158721
340	-882.2802	-913.8571	31.57685	0.04062323	0.07636376	0.02509158	0.04716729	-3.203415	-2.572247	-0.4818077	0.206691	0.132691	0.883246	0.720649	0.03055123	0.0002699272	6.824921e-08	0.03095375	0.01946034	4.011959e-05	0.0002195854	0.000345998	0.0002699272	0.03055123	0.01946034	4.011959e-05	6.824921e-08	0.03095375	0.000345998	0.0002195854	0.168871	0.218178	0.345982	0.266969	0.2473145	0.2090545	0.9083372	0.7678158	-1.397095	-1.56516	1.300955
350	-891.5905	-916.4208	24.83031	0.02575462	0.04757087	0.1283832	0.2371342	-3.659141	-3.045535	1.606406	0.181897	0.318895	0.483316	0.842399	0.02581285	0.0005364471	0.002623266	0.01218109	5.681106e-05	0.0002621737	0.0144814	0.004128126	0.0005364471	0.02581285	5.681106e-05	0.0002621737	0.002623266	0.01218109	0.004128126	0.0144814	0.168871	0.218178	0.345982	0.266969	0.2076513	0.3664654	0.6116992	1.079534	-1.571895	-1.003851	1.08038
360	-879.916	-913.3663	33.45033	0.1477094	0.06207835	0.3929698	0.1651548	-1.912509	-2.779358	0.9784861	0.147624	0.159237	0.899717	0.803552	0.01479288	3.028234e-05	0.001683698	0.006287883	9.92914e-06	0.001813753	0.001514449	0.0006964407	3.028234e-05	0.01479288	9.92914e-06	0.001813753	0.001683698	0.006287883	0.0006964407	0.001514449	0.622952	0.125782	0.0973559	0.15391	0.2953331	0.2213152	1.292687	0.9687072	-1.219651	-1.508167	1.476375
370	-887.6288	-912.5872	24.95833	0.02755413	0.04086451	0.08863627	0.1314532	-3.591603	-3.197493	1.168389	0.198563	0.15181	0.825757	0.647704	0.02808156	0.0001708043	0.003112181	0.004247543	0.01396955	0.009703094	0.0003976654	0.0003607136	0.0001708043	0.02808156	0.01396955	0.009703094	0.003112181	0.004247543	0.0003607136	0.0003976654	0.622952	0.125782	0.0973559	0.15391	0.2261166	0.1926746	0.9143928	0.7791567	-1.486704	-1.646752	1.397209
380	-888.0688	-910.6911	22.62221	0.06090229	0.02178305	0.2311862	0.08268885	-2.798485	-3.826623	1.333953	0.165073	0.201049	0.587617	0.724725	0.02904282	0.003434758	0.0007775707	0.009009179	0.01053611	0.000668549	0.004929202	0.002954456	0.003434758	0.02904282	0.01053611	0.000668549	0.0007775707	0.009009179	0.002954456	0.004929202	0.622952	0.0973559	0.125782	0.15391	0.2259755	0.2228324	0.8188027	0.8074138	-1.487329	-1.501336	1.287417
390	-882.9052	-912.2165	29.31127	0.04960057	0.186169	0.05538697	0.2078874	-3.003753	-1.6811	0.110342	0.189504	0.192768	0.589745	0.814528	0.02577309	0.001372409	0.0007246359	0.007584781	0.00804886	0.009543414	1.001215e-06	0.0006978397	0.001372409	0.02577309	0.00804886	0.009543414	0.0007246359	0.007584781	0.0006978397	1.001215e-06	0.622952	0.0973559	0.15391	0.125782	0.2391048	0.378937	0.6451321	1.022415	-1.430853	-0.9703853	0.992553
400	-890.7987	-914.8144	24.01563	0.0956618	0.08239146	0.1276342	0.1099286	-2.346936	-2.496273	0.2883495	0.156168	0.205537	0.652554	0.782095	0.0150143	0.002716971	0.00219389	0.008366576	0.001505304	0.03155139	0.002695561	0.001592029	0.002716971	0.0150143	0.001505304	0.03155139	0.00219389	0.008366576	0.001592029	0.002695561	0.0973559	0.622952	0.15391	0.125782	0.2518296	0.287928	0.7801884	0.892024	-1.379003	-1.245045	1.130783
